,Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,Sand_Perc,Clay_Perc,Silt_Perc,Respiration,C_Perc,N_Perc,C_N_Perc,MB_C,MB_N,C_gm2,N_gm2,Initial Nitrates,Initial NH4,Net N Min,Net Nitr
0,Hillsdale 1,,1,Hillsdale 1_1,0to10,Forest,Forest,,,,,0.909,20.9,13.5,65.6,5.843,2.367,0.131,18.033,248.0056495,65.433,0.0,0.0,0.277,10.297,0.417,0.07
1,Hillsdale 2,,1,Hillsdale 2_1,0to10,Forest,Forest,,,,,0.833,33.9,12.2,53.9,8.219,3.112,0.2,15.543,461.5742368,95.314,0.0,0.0,9.164,7.807,0.386,0.351
2,Leakin 1,,1,Leakin 1_1,0to10,Forest,Forest,,,,,0.927,38.3,14.0,47.6,5.853,2.329,0.175,13.316,414.5008999,65.638,0.0,0.0,9.069,0.819,0.18,0.186
3,Leakin 2 ,,1,Leakin 2 _1,0to10,Forest,Forest,,,,,0.688,60.5,10.5,29.0,19.719,2.549,0.11,23.143,797.7840349,55.82,0.0,0.0,0.266,5.645,0.57,0.0
4,Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,0to10,Forest,Forest,,,,,0.494,54.3,11.7,33.9,3.632,4.705,0.249,18.872,124.1263228,118.211,0.0,0.0,0.708,12.389,0.769,0.062
5,Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,0to10,Forest,Forest,,,,,0.606,50.8,11.2,38.0,12.453,3.119,0.153,20.361,936.3272536,105.89,0.0,0.0,0.282,16.475,0.569,0.051
6,Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,0to10,Forest,Forest,,,,,0.692,41.5,12.1,46.3,2.737,2.857,0.196,14.582,675.4195921,107.803,0.0,0.0,0.286,3.429,0.769,0.0
7,Hillsdale 1,,2,Hillsdale 1_2,0to10,Forest,Forest,,,,,0.874,,,,14.342,3.108,0.171,18.128,391.7104111,64.971,0.0,0.0,0.278,9.44,1.638,0.025
8,Hillsdale 2,,2,Hillsdale 2_2,0to10,Forest,Forest,,,,,0.643,,,,1.701,2.225,0.171,13.048,114.5445739,69.936,0.0,0.0,13.719,1.125,0.305,0.249
9,Leakin 1,,2,Leakin 1_2,0to10,Forest,Forest,,,,,0.839,,,,12.758,3.362,0.233,14.448,558.1409981,100.196,0.0,0.0,3.439,3.042,-0.391,-0.247
10,Leakin 2 ,,2,Leakin 2 _2,0to10,Forest,Forest,,,,,0.603,,,,16.876,4.028,0.193,20.831,669.7389587,113.472,0.0,0.0,0.301,15.813,0.453,0.0
11,Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,0to10,Forest,Forest,,,,,0.658,,,,2.616,4.671,0.255,18.289,183.5555205,160.519,0.0,0.0,1.187,11.455,1.137,0.139
12,Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,0to10,Forest,Forest,,,,,1.012,41.7,20.3,38.0,6.422,1.22,0.083,14.688,254.3693165,24.223,0.0,0.0,0.963,6.017,-0.264,-0.061
13,Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,0to10,Forest,Forest,,,,,0.641,,,,15.653,3.815,0.199,19.165,946.880992,108.749,0.0,0.0,0.295,6.903,0.646,0.0
14,Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,0to10,Forest,Forest,,,,,0.493,,,,3.108,4.774,0.26,18.339,1034.288268,174.977,0.0,0.0,0.291,11.567,1.137,0.0
15,Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,0to10,Forest,Forest,,,,,0.68,,,,4.573,3.916,0.239,16.369,187.3346173,99.119,0.0,0.0,0.379,7.508,0.607,-0.001
16,Hillsdale 1,,1,Hillsdale 1_1,10to30,Forest,Forest,,,,,1.183,12.2,22.5,65.3,3.027,0.771,0.054,14.279,138.5568745,13.724,0.0,0.0,0.259,2.947,0.135,0.0
17,Hillsdale 2,,1,Hillsdale 2_1,10to30,Forest,Forest,,,,,1.267,20.2,28.8,51.0,2.348,0.43,0.047,9.252,78.36901609,7.577,0.0,0.0,0.252,3.985,0.017,0.0
18,Leakin 1,,1,Leakin 1_1,10to30,Forest,Forest,,,,,1.179,31.1,18.7,50.2,3.253,0.983,0.071,13.931,224.522995,23.277,0.0,0.0,1.433,1.535,0.042,0.085
19,Leakin 2 ,,1,Leakin 2 _1,10to30,Forest,Forest,,,,,1.11,45.1,20.0,34.9,3.327,0.345,0.021,16.23,163.10518,8.163,0.0,0.0,0.242,2.709,0.081,0.0
20,Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,10to30,Forest,Forest,,,,,0.929,46.7,20.0,33.3,2.409,0.821,0.066,12.414,79.99052793,13.808,0.0,0.0,0.256,2.403,-0.103,0.0
21,Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,10to30,Forest,Forest,,,,,1.027,48.3,20.0,31.7,5.484,0.579,0.035,16.595,241.4972876,7.706,0.0,0.0,0.258,1.957,-0.077,0.0
22,Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,10to30,Forest,Forest,,,,,1.086,32.3,29.7,38.0,2.394,0.54,0.045,11.917,87.81950512,6.337,0.0,0.0,0.259,2.068,-0.073,0.0
23,Hillsdale 1,,2,Hillsdale 1_2,10to30,Forest,Forest,,,,,1.285,7.6,26.3,66.1,2.928,0.465,0.026,17.931,99.68521868,9.121,0.0,0.0,0.255,1.632,0.002,0.0
24,Hillsdale 2,,2,Hillsdale 2_2,10to30,Forest,Forest,,,,,1.28,20.9,35.0,44.1,1.865,0.361,0.039,9.174,67.44776824,4.57,0.0,0.0,2.33,1.087,0.031,-0.001
25,Leakin 1,,2,Leakin 1_2,10to30,Forest,Forest,,,,,1.167,33.8,19.7,46.5,2.22,1.263,0.096,13.144,148.1167594,32.406,0.0,0.0,0.572,3.375,-0.03,-0.026
26,Leakin 2 ,,2,Leakin 2 _2,10to30,Forest,Forest,,,,,0.959,45.0,19.7,35.2,5.395,0.473,0.027,17.272,96.44339112,13.885,0.0,0.0,0.243,3.548,-0.022,0.0
27,Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,10to30,Forest,Forest,,,,,1.007,34.2,26.3,39.5,3.245,0.873,0.068,12.78,71.4999273,17.962,0.0,0.0,0.26,3.384,-0.106,0.0
28,Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,10to30,Forest,Forest,,,,,1.014,40.1,25.0,35.0,3.304,0.432,0.033,13.186,108.9322489,10.479,0.0,0.0,0.286,10.625,-0.385,0.036
29,Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,10to30,Forest,Forest,,,,,0.975,38.9,27.7,33.4,6.408,0.571,0.038,15.074,121.9908075,6.894,0.0,0.0,0.254,3.0,-0.072,0.0
30,Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,10to30,Forest,Forest,,,,,0.91,38.3,23.8,37.9,5.837,0.986,0.058,16.968,90.8959744,19.409,0.0,0.0,0.275,3.686,-0.155,-0.002
31,Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,10to30,Forest,Forest,,,,,1.065,32.4,27.5,40.1,2.496,0.97,0.07,13.943,55.2830797,26.524,0.0,0.0,0.295,3.957,0.053,0.0
32,Hillsdale 1,,1,Hillsdale 1_1,30to70,Forest,Forest,,,,,1.183,16.0,41.2,42.8,2.717,0.224,0.029,7.653,54.37437108,1.786,0.0,0.0,0.268,0.537,0.009,0.0
33,Hillsdale 2,,1,Hillsdale 2_1,30to70,Forest,Forest,,,,,1.147,21.5,48.5,30.0,2.093,0.405,0.033,12.227,69.55873054,2.122,0.0,0.0,0.282,0.901,0.045,0.0
34,Leakin 1,,1,Leakin 1_1,30to70,Forest,Forest,,,,,1.161,31.9,29.8,38.4,2.271,0.28,0.029,9.56,68.49350976,2.012,0.0,0.0,0.284,0.853,-0.027,0.0
35,Leakin 2 ,,1,Leakin 2 _1,30to70,Forest,Forest,,,,,1.341,43.2,23.5,33.3,3.512,0.215,0.015,14.179,104.1592459,3.209,0.0,0.0,0.257,1.285,0.026,0.0
36,Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,30to70,Forest,Forest,,,,,1.219,61.6,22.5,15.9,2.683,0.225,0.024,9.177,39.85193264,1.626,0.0,0.0,0.251,1.105,-0.079,0.0
37,Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,30to70,Forest,Forest,,,,,1.182,49.5,29.0,21.5,3.645,0.26,0.016,16.508,80.12306517,1.705,0.0,0.0,0.248,0.792,-0.015,0.0
38,Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,30to70,Forest,Forest,,,,,1.273,36.5,38.8,24.8,3.495,0.16,0.02,7.865,65.83362236,1.273,0.0,0.0,0.255,0.917,0.036,0.0
39,Hillsdale 1,,2,Hillsdale 1_2,30to70,Forest,Forest,,,,,1.401,20.0,32.5,47.5,3.009,0.222,0.019,11.475,77.61959594,1.422,0.0,0.0,0.251,0.503,-0.023,0.0
40,Hillsdale 2,,2,Hillsdale 2_2,30to70,Forest,Forest,,,,,1.136,23.4,40.0,36.6,1.817,0.244,0.024,9.996,60.5988658,3.84,0.0,0.0,3.236,0.614,0.003,-0.012
41,Leakin 1,,2,Leakin 1_2,30to70,Forest,Forest,,,,,1.361,44.6,21.0,34.4,2.938,0.36,0.033,10.928,93.22147945,4.438,0.0,0.0,0.29,1.218,-0.085,0.0
42,Leakin 2 ,,2,Leakin 2 _2,30to70,Forest,Forest,,,,,1.142,64.5,21.0,14.5,3.19,0.126,0.0,13.41740885880537,106.2766391,1.016,0.0,0.0,0.244,0.879,-0.031,0.0
43,Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,30to70,Forest,Forest,,,,,1.22,47.2,31.5,21.3,2.627,0.23,0.025,9.127,76.03094706,2.76,0.0,0.0,0.256,2.154,-0.07,0.0
44,Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,30to70,Forest,Forest,,,,,0.95,70.3,15.0,14.8,2.327,0.106,0.017,6.307,72.69630923,0.92,0.0,0.0,0.277,0.554,-0.026,0.0
45,Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,30to70,Forest,Forest,,,,,1.176,66.5,17.5,16.0,2.65,0.179,0.013,13.693,137.6458528,1.105,0.0,0.0,0.256,1.795,-0.141,0.0
46,Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,30to70,Forest,Forest,,,,,1.422,30.6,33.8,35.7,4.005,0.202,0.021,9.766,73.96426021,1.783,0.0,0.0,0.227,1.501,-0.08,0.0
47,Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,30to70,Forest,Forest,,,,,1.354,34.9,32.5,32.5,2.787,0.161,0.022,7.32,67.05315865,1.861,0.0,0.0,0.28,0.672,-0.037,0.0
48,Hillsdale 1,,1,Hillsdale 1_1,70to100,Forest,Forest,,,,,1.007,30.3,40.0,29.7,2.842,0.2,0.016,12.868,102.6870095,1.433,0.0,0.0,0.281,0.954,-0.062,0.0
49,Hillsdale 2,,1,Hillsdale 2_1,70to100,Forest,Forest,,,,,1.211,21.5,42.5,36.0,1.942,0.136,0.019,7.205,66.35974134,1.305,0.0,0.0,0.276,0.772,0.019,0.0
50,Leakin 1,,1,Leakin 1_1,70to100,Forest,Forest,,,,,1.115,37.6,27.5,35.0,2.427,0.313,0.043,7.311,113.7699675,2.149,0.0,0.0,0.572,0.858,-0.006,0.015
51,Leakin 2 ,,1,Leakin 2 _1,70to100,Forest,Forest,,,,,1.279,60.8,17.3,21.9,2.766,0.104,0.0,13.41740885880537,75.66298054,1.114,0.0,0.0,0.244,0.975,-0.027,0.0
52,Oregon Ridge Mid 1,,1,Oregon Ridge Mid 1_1,70to100,Forest,Forest,,,,,1.295,70.9,17.5,11.6,9.857,0.117,0.013,8.658,719.9726428,1.309,0.0,0.0,0.236,0.849,-0.056,0.0
53,Oregon Ridge Upper 1 ,,1,Oregon Ridge Upper 1 _1,70to100,Forest,Forest,,,,,1.222,80.8,9.0,10.2,3.416,0.138,0.0,13.41740885880537,82.17325853,1.677,0.0,0.0,0.256,0.665,-0.037,0.0
54,Oregon Ridge Upper 2 ,,1,Oregon Ridge Upper 2 _1,70to100,Forest,Forest,,,,,1.336,36.5,42.5,21.0,3.433,0.09,0.012,7.429,84.20363044,0.8,0.0,0.0,0.255,0.867,0.063,0.0
55,Hillsdale 1,,2,Hillsdale 1_2,70to100,Forest,Forest,,,,,1.319,46.0,21.3,32.8,3.482,0.231,0.012,19.013,69.85953995,1.129,0.0,0.0,0.249,0.598,-0.032,0.0
56,Hillsdale 2,,2,Hillsdale 2_2,70to100,Forest,Forest,,,,,1.019,29.0,33.5,37.5,2.229,0.171,0.021,8.221,41.46897281,5.351,0.0,0.0,3.961,0.932,0.024,-0.002
57,Leakin 1,,2,Leakin 1_2,70to100,Forest,Forest,,,,,1.395,44.7,21.2,34.1,2.345,0.127,0.017,7.322,77.51574883,0.566,0.0,0.0,0.288,0.288,0.0,0.0
58,Leakin 2 ,,2,Leakin 2 _2,70to100,Forest,Forest,,,,,1.326,53.7,16.3,30.0,3.186,0.084,0.0,13.41740885880537,78.76782228,0.495,0.0,0.0,0.251,0.501,-0.023,0.0
59,Oregon Ridge Mid 1,,2,Oregon Ridge Mid 1_2,70to100,Forest,Forest,,,,,1.328,62.6,22.5,14.9,3.04,0.142,0.024,5.925,157.6368617,0.488,0.0,0.0,0.248,0.495,0.003,0.0
60,Oregon Ridge Mid 2,,2,Oregon Ridge Mid 2_2,70to100,Forest,Forest,,,,,1.384,76.4,9.8,13.9,2.582,0.086,0.008,11.036,93.2122708,0.841,0.0,0.0,0.284,0.284,-0.001,0.0
61,Oregon Ridge Upper 1 ,,2,Oregon Ridge Upper 1 _2,70to100,Forest,Forest,,,,,1.342,61.0,19.8,19.2,3.603,0.1,0.0,13.41740885880537,124.5123817,1.018,0.0,0.0,0.234,1.358,-0.103,0.0
62,Oregon Ridge Upper 2 ,,2,Oregon Ridge Upper 2 _2,70to100,Forest,Forest,,,,,1.387,45.5,27.8,26.8,2.663,0.16,0.014,11.316,58.01247015,1.211,0.0,0.0,0.244,0.683,-0.014,0.0
63,Oregon Ridge Mid 2,,3,Oregon Ridge Mid 2_3,70to100,Forest,Forest,,,,,1.384,56.9,26.2,16.9,14.708,0.065,0.012,5.398,275.2924133,0.878,0.0,0.0,0.279,0.279,-0.001,0.0
64,House9,9.0,1,9.1,0to10,Residential,Ag,1989.0,18.0,2.0,1.0,0.656,46.335,12.509,41.156,12.411,2.89,0.217,13.319,421.47,79.112,1896.687,142.405,0.716,11.835,0.105,0.098
65,House9,9.0,2,9.2,0to10,Residential,Ag,1989.0,18.0,2.0,1.0,0.848,,,,10.014,2.663,0.215,12.407,527.24,86.484,2257.095,181.916,1.909,4.773,0.343,0.376
66,House9,9.0,1,9.1,10to30,Residential,Ag,1989.0,18.0,2.0,1.0,1.178,37.75,19.75,42.5,3.709,0.884,0.081,10.871,63.31,31.326,2081.917,191.502,0.698,25.062,-0.243,0.124
67,House9,9.0,2,9.2,10to30,Residential,Ag,1989.0,18.0,2.0,1.0,1.097,37.078,22.767,40.155,1.707,0.916,0.078,11.76,124.9,12.136,2009.749,170.894,0.75,1.75,0.043,0.112
68,House9,9.0,1,9.1,30to70,Residential,Ag,1989.0,18.0,2.0,1.0,1.306,31.5,39.0,29.5,2.082,0.317,0.03,10.532,78.55,8.301,1657.967,157.417,0.703,11.555,-0.367,0.08
69,House9,9.0,2,9.2,30to70,Residential,Ag,1989.0,18.0,2.0,1.0,1.282,31.341,45.273,23.387,3.42,0.279,0.029,9.781,73.56,0.759,1432.791,146.492,0.257,0.514,0.049,0.0
70,House9,9.0,1,9.1,70to100,Residential,Ag,1989.0,18.0,2.0,1.0,1.268,43.332,36.277,20.39,2.964,0.202,0.025,8.018,58.15,1.366,1046.703,130.539,0.247,0.592,0.044,0.0
71,House9,9.0,2,9.2,70to100,Residential,Ag,1989.0,18.0,2.0,1.0,1.225,52.536,35.224,12.241,2.638,0.074,0.01,7.691,47.97,0.822,282.975,36.791,0.244,0.244,0.0,0.0
72,House11,11.0,1,11.1,0to10,Residential,Ag,1980.0,27.0,2.0,1.0,0.959,40.765,15.746,43.489,4.374,2.171,0.206,10.555,493.0,96.24,2082.17,197.269,18.084,0.848,0.633,0.395
73,House11,11.0,2,11.2,0to10,Residential,Ag,1980.0,27.0,2.0,1.0,0.958,,,,2.537,2.03,0.173,11.763,376.54,72.164,1944.229,165.282,6.711,1.611,0.537,0.432
74,House11,11.0,1,11.1,10to30,Residential,Ag,1980.0,27.0,2.0,1.0,1.257,38.39,23.494,38.115,2.857,0.785,0.085,9.258,151.21,20.328,1972.887,213.107,6.553,0.74,0.07,0.081
75,House11,11.0,2,11.2,10to30,Residential,Ag,1980.0,27.0,2.0,1.0,1.047,21.48,31.258,47.262,2.93,0.508,0.047,10.864,118.68,6.264,1063.593,97.903,1.403,0.26,0.008,0.008
76,House11,11.0,1,11.1,30to70,Residential,Ag,1980.0,27.0,2.0,1.0,1.253,17.042,33.784,49.174,2.505,0.22,0.03,7.337,56.58,0.516,1100.296,149.956,0.262,0.262,-0.001,0.0
77,House11,11.0,2,11.2,30to70,Residential,Ag,1980.0,27.0,2.0,1.0,1.093,18.334,35.018,46.648,3.208,0.212,0.03,6.976,60.66,1.16,928.54,133.106,0.268,0.268,-0.001,0.0
78,House11,11.0,1,11.1,70to100,Residential,Ag,1980.0,27.0,2.0,1.0,1.209,14.71,33.716,51.573,2.661,0.158,0.024,6.491,47.46,28.089272727272725,574.958,88.576,0.265,0.265,0.2402319749216301,0.2048808777429467
79,House11,11.0,2,11.2,70to100,Residential,Ag,1980.0,27.0,2.0,1.0,,,,,5.606775,1.0592625000000002,0.078946875,13.41740885880537,199.36755470325,28.089272727272725,1404.5917757009345,111.34078504672897,5.03339375,2.6695,0.2402319749216301,0.2048808777429467
80,House12,12.0,1,12.1,0to10,Residential,Ag,1978.0,29.0,2.0,1.0,0.872,24.781,18.273,56.946,19.165,2.432,0.224,10.833,415.62,122.37,2119.498,195.657,18.194,3.191,0.639,0.873
81,House12,12.0,2,12.2,0to10,Residential,Ag,1978.0,29.0,2.0,1.0,1.146,,,,9.42,2.465,0.213,11.591,412.12,120.643,2825.453,243.766,23.795,0.609,0.638,0.624
82,House12,12.0,1,12.1,10to30,Residential,Ag,1978.0,29.0,2.0,1.0,1.117,18.959,34.767,46.273,3.339,0.53,0.059,8.997,213.46,10.129,1185.224,131.735,2.856,2.025,0.0,0.161
83,House12,12.0,2,12.2,10to30,Residential,Ag,1978.0,29.0,2.0,1.0,1.308,18.23,32.508,49.262,4.327,0.631,0.069,9.196,272.65,19.302,1649.941,179.419,8.408,0.731,0.095,0.138
84,House12,12.0,1,12.1,30to70,Residential,Ag,1978.0,29.0,2.0,1.0,1.34,28.929,35.035,36.036,3.528,0.133,0.025,5.26,121.27,0.511,710.912,135.148,0.26,1.613,-0.124,0.0
85,House12,12.0,2,12.2,30to70,Residential,Ag,1978.0,29.0,2.0,1.0,1.264,24.944,36.277,38.779,3.342,0.224,0.031,7.215,107.56,5.761,1133.439,157.091,4.817,0.524,0.023,0.047
86,House12,12.0,1,12.1,70to100,Residential,Ag,1978.0,29.0,2.0,1.0,1.33,35.686,40.04,24.274,2.913,0.096,0.02,4.844,80.16,0.951,385.079,79.492,0.269,0.269,0.028,0.0
87,House12,12.0,2,12.2,70to100,Residential,Ag,1978.0,29.0,2.0,1.0,1.122,32.324,38.779,28.897,4.395,0.197,0.025,7.984,109.82,5.527,662.018,82.917,4.246,0.743,0.027,0.046
88,House13,13.0,1,13.1,0to10,Residential,Ag,2002.0,5.0,2.0,1.0,0.984,36.907,18.741,44.353,5.065,2.006,0.194,10.343,74.69,77.032,1973.169,190.773,9.885,6.206,0.48,0.642
89,House13,13.0,2,13.2,0to10,Residential,Ag,2002.0,5.0,2.0,1.0,0.899,,,,12.544,2.339,0.205,11.432,451.29,83.851,2101.649,183.846,7.776,3.656,1.561,1.032
90,House13,13.0,1,13.1,10to30,Residential,Ag,2002.0,5.0,2.0,1.0,1.151,46.25,18.75,35.0,3.284,0.659,0.073,9.038,71.81,24.249,1517.511,167.904,7.326,3.738,0.153,0.336
91,House13,13.0,2,13.2,10to30,Residential,Ag,2002.0,5.0,2.0,1.0,1.124,36.407,25.987,37.606,3.241,0.725,0.082,8.838,135.68,44.534,1630.099,184.452,5.317,24.501,0.233,0.808
